Image_ID,Product_Type,Carbon_Emission_from_RM(KG CO2),Carbon_Emission_from_WDFKG CO2),Energy_Consumption_from_WDF(KwH),Water_Used_from_WDF (Litres),Carbon_Emission_from_MKG CO2),Energy_Consumption_from_M(KwH),Water_Used_from_M (Litres),Carbon_Emission_from T(KG CO2)
Fashion_22.webp,Fashion,16.06790787,1.223824566,29,337,6.458426272,70,415,1.378557439
Fashion_23.webp,Fashion,17.0026382,3.517390337,43,343,9.947029921,73,418,1.825695686
Fashion_24.webp,Fashion,14.1045381,4.928474727,32,492,7.077049917,66,634,0.670980294
Fashion_25.webp,Fashion,12.74447222,4.535430897,25,376,7.633945291,62,681,1.644211451
Fashion_26.webp,Fashion,15.30147536,3.459817219,40,296,5.839978753,70,575,1.116922284
Fashion_27.webp,Fashion,17.42952665,2.515781209,33,202,8.870993245,67,577,1.589733456
Fashion_28.webp,Fashion,14.82300337,4.68159969,27,479,7.77089834,59,499,1.485542388
Fashion_29.webp,Fashion,16.59298691,4.899654464,45,228,5.311623261,62,629,1.375176802
Fashion_30.webp,Fashion,7.907862145,4.130124964,40,369,8.752133217,54,613,0.967365252
Fashion_31.webp,Fashion,12.5659853,1.131386701,44,205,8.414710777,75,440,1.947126537
Fashion_32.webp,Fashion,7.291240261,3.865177872,25,410,7.489672093,56,581,0.962542398
Fashion_33.webp,Fashion,6.591673429,2.448702391,47,396,5.483978284,63,592,1.174366108
Fashion_34.webp,Fashion,6.430749511,1.235105664,48,334,3.887310648,65,624,0.510845467
Fashion_35.webp,Fashion,18.91312774,3.386225144,25,480,6.848762091,53,442,1.226930858
Fashion_36.webp,Fashion,18.19280395,3.380403466,41,294,8.606831472,59,417,1.649365945
Fashion_37.webp,Fashion,5.017998084,1.740407016,28,385,5.378694038,53,454,0.839552819
Fashion_38.webp,Fashion,5.433109636,1.880175186,31,450,5.153598858,45,490,1.2866443
Fashion_39.webp,Fashion,8.760436118,3.294107139,28,224,8.361218601,51,473,1.381821494
Fashion_40.webp,Fashion,8.993521616,3.335249036,42,253,7.233193667,61,615,0.935768641
Fashion_41.webp,Fashion,5.879432442,2.874777887,28,498,6.287955232,41,441,1.303790977
Fashion_42.webp,Fashion,13.28376002,3.304529932,47,493,9.599508113,70,478,0.582481656
Fashion_43.webp,Fashion,9.138715689,1.054573367,27,286,6.704124992,64,459,0.688706158
Fashion_44.webp,Fashion,14.00181408,1.657916737,30,393,6.263497765,78,400,1.106480395
Fashion_45.webp,Fashion,7.434281103,3.573063275,45,392,7.945154979,56,560,1.41139729
Fashion_46.webp,Fashion,13.6658235,1.385771745,27,340,3.26846078,60,481,1.00626482
Fashion_47.webp,Fashion,19.02136793,3.689855307,49,333,6.742735199,50,603,1.14709372
Fashion_48.webp,Fashion,19.86784945,1.055056044,21,336,9.439457076,50,494,0.902269179
Fashion_49.webp,Fashion,19.10209873,3.78438495,30,404,8.609554201,66,449,1.719941643
Fashion_50.webp,Fashion,19.06487732,1.850686335,32,234,9.199184239,49,653,0.550978419
Fashion_51.webp,Fashion,11.89217894,4.740003712,39,449,8.198548339,63,678,0.546170239
Fashion_52.webp,Fashion,8.321223001,3.903792931,49,228,6.394164972,44,572,0.668058828
Fashion_53.webp,Fashion,16.18616306,4.409446623,43,232,7.938616212,79,696,1.500798007
Fashion_54.webp,Fashion,14.70137581,3.328170192,41,366,6.236740256,40,657,1.088526894
Fashion_55.webp,Fashion,14.03876271,4.19589847,36,431,8.050391584,72,690,1.066725925
Fashion_56.webp,Fashion,14.91732902,4.688812439,48,398,8.393301309,55,586,1.118915826
Fashion_57.webp,Fashion,14.2082083,4.120229932,49,334,3.609598664,67,617,1.030722092
Fashion_58.webp,Fashion,18.75122397,1.21142481,24,320,7.26590435,57,598,1.409465404
Fashion_59.webp,Fashion,19.02355086,3.166003229,36,385,7.827049949,40,546,1.882672756
Fashion_60.webp,Fashion,10.78454736,2.586769393,47,322,9.592417712,68,499,1.739027445
Fashion_61.webp,Fashion,15.009219,1.437949785,27,385,7.3524322,77,658,0.955629989
Fashion_62.webp,Fashion,6.812694435,1.325395021,37,456,9.886157159,42,592,1.151696339
Fashion_63.webp,Fashion,19.24879903,3.231578476,21,358,6.473142182,69,616,0.862361574
Fashion_64.webp,Fashion,17.55267521,3.078529061,43,292,7.040669882,63,607,1.688880501
Fashion_65.webp,Fashion,11.13594665,1.419370423,43,241,8.178860572,56,639,1.201408632
Fashion_66.webp,Fashion,14.40935938,2.343782586,21,276,9.639295468,45,563,0.54113822
Fashion_67.webp,Fashion,9.83718888,4.872160673,23,469,8.27922196,46,611,0.990416295
Fashion_68.webp,Fashion,9.478469358,2.534600412,47,335,8.262744975,40,610,1.582979659
Fashion_69.webp,Fashion,13.17740923,1.664040376,42,413,9.582986664,47,497,0.739650503
Fashion_70.webp,Fashion,7.009517081,2.95745032,41,318,8.076578921,42,661,1.44036079
Fashion_71.webp,Fashion,7.559195467,3.855084801,31,437,7.94111263,44,439,1.690356919
Fashion_72.webp,Fashion,7.60252965,1.324440695,25,289,5.120934329,48,597,0.981168879
Fashion_73.webp,Fashion,19.15479194,3.925304114,33,299,6.613209043,71,695,1.216748129
Fashion_74.webp,Fashion,12.65210248,4.830896429,40,281,6.558178653,77,548,0.503307421
Fashion_75.webp,Fashion,12.7885215,3.226493485,34,459,6.33769586,69,575,1.555303489
Fashion_76.webp,Fashion,17.88091215,1.853681352,22,237,4.113522359,79,532,1.13373561
Fashion_77.webp,Fashion,9.827213952,2.906786588,20,425,3.154113176,48,535,1.175331469
Fashion_78.webp,Fashion,15.60098555,3.080287711,47,253,7.761848607,67,414,0.519886234
Fashion_79.webp,Fashion,15.81028856,4.448916632,21,222,7.035718749,44,489,1.986215163
Fashion_80.webp,Fashion,10.80359556,3.444416791,20,390,9.71052691,53,448,0.681134199
Fashion_81.webp,Fashion,12.3942353,1.446254311,49,403,8.846133119,77,533,1.984878996
Fashion_82.webp,Fashion,15.69419825,1.062528522,31,267,8.361320736,79,564,1.69574454
Fashion_83.webp,Fashion,18.45229479,4.886132386,35,370,3.238057757,61,409,1.905996608
Fashion_84.webp,Fashion,19.62498209,3.766429943,33,321,6.541143901,61,506,1.88299732
Fashion_85.webp,Fashion,15.63594008,3.185044713,38,201,8.404716465,73,663,1.067789405
Fashion_86.webp,Fashion,9.227470304,1.494111876,42,407,8.017289779,65,503,0.861530892
Fashion_87.webp,Fashion,11.71086643,2.091275615,49,207,9.303145403,41,419,1.453065085
Fashion_88.webp,Fashion,15.10657366,2.919493946,28,461,3.76800948,76,531,1.173058395
Fashion_89.webp,Fashion,17.13003992,3.196650045,43,286,5.461911405,79,548,1.081764447
Fashion_90.webp,Fashion,19.11680607,1.190138629,21,288,9.117681238,72,452,1.375294217
Footwear_1.webp,Footwear,19.9412158,3.536161324,49,247,7.046712766,48,661,1.370136227
Footwear_2.webp,Footwear,9.697060766,4.373251795,48,223,7.859726625,44,405,1.358547653
Footwear_3.webp,Footwear,12.83907961,1.809404107,27,228,3.128710167,57,549,1.772053344
Footwear_4.webp,Footwear,10.8094246,1.726054212,33,233,3.966256061,59,479,0.616607659
Footwear_5.webp,Footwear,7.963855371,2.114876785,32,384,5.876765904,62,488,0.986375831
Footwear_6.webp,Footwear,6.455169944,2.017039967,23,227,7.815766385,48,681,0.951203111
Footwear_7.webp,Footwear,17.7407337,3.559466529,49,312,7.950417501,52,408,1.108573585
Footwear_8.webp,Footwear,17.91418858,1.065248265,30,481,7.479772211,50,581,0.724704109
Footwear_9.webp,Footwear,18.84273653,1.166002738,31,302,4.170058461,44,575,0.624276306
Footwear_10.webp,Footwear,14.01866546,3.108745412,48,456,4.86072044,40,534,1.726436855
Footwear_11.webp,Footwear,19.95590631,3.984716682,36,472,4.139013747,46,411,1.224928025
Footwear_12.webp,Footwear,19.86069111,2.325598397,47,308,4.749268448,45,454,0.653935048
Footwear_13.webp,Footwear,19.68913005,2.789078404,21,355,4.145620555,67,594,0.75110705
Footwear_14.webp,Footwear,13.13272456,1.030437566,47,310,7.89483524,59,656,1.78266287
Footwear_15.webp,Footwear,9.8460796,3.39580494,29,489,5.957871344,77,435,1.931364468
Footwear_16.webp,Footwear,6.085442192,2.143390799,47,224,3.106174562,75,409,1.934155757
Footwear_17.webp,Footwear,15.59493499,3.89944647,34,494,4.83073356,67,461,1.750618725
Footwear_18.webp,Footwear,5.914224742,2.035958772,21,342,5.664691168,75,460,1.044140543
Footwear_19.webp,Footwear,11.44211584,2.614515984,27,340,9.353576489,72,535,1.634075521
Footwear_20.webp,Footwear,12.81297988,3.283544808,21,314,9.74177392,47,412,1.204386664
Footwear_21.webp,Footwear,14.33644085,3.186100282,46,214,7.031588491,70,481,0.650297462
Footwear_22.webp,Footwear,8.228718506,1.310127848,34,361,5.870587386,54,538,1.086098664
Footwear_23.webp,Footwear,19.09584538,2.704758503,43,279,8.888654541,59,408,0.838303539
Footwear_24.webp,Footwear,8.044242531,1.538558687,22,335,8.269989466,76,428,1.041886336
Footwear_25.webp,Footwear,18.73384002,4.499228656,49,375,3.631594366,40,437,0.833687866
Footwear_26.webp,Footwear,6.291843167,1.651017961,24,441,8.672462062,45,588,1.279911438
Footwear_27.webp,Footwear,18.31808727,2.114685692,45,299,6.215512646,69,575,0.757620892
Footwear_28.webp,Footwear,12.15010792,2.218231062,33,268,7.274771206,47,429,1.536437604
Footwear_29.webp,Footwear,15.38543307,3.483864224,40,451,5.400152949,66,669,1.582955975
Footwear_30.webp,Footwear,16.69135502,1.405477524,25,314,8.006099235,66,569,1.751692721
Footwear_31.webp,Footwear,13.76687215,1.175278883,47,297,4.983311837,76,529,0.989048653
Footwear_32.webp,Footwear,13.12120684,4.234623134,33,451,8.746737059,79,598,0.600833287
Footwear_33.webp,Footwear,12.4887376,2.034330748,39,472,6.299563615,57,657,0.845510565
Footwear_34.webp,Footwear,16.03513037,3.212721243,20,476,8.013253351,67,468,1.477692107
Footwear_35.webp,Footwear,17.12598549,1.8895573,45,334,4.195170241,47,455,1.660348426
Footwear_36.webp,Footwear,13.30952462,4.991003036,21,429,6.325564412,79,517,1.858282526
Footwear_37.webp,Footwear,11.82158523,1.994090918,40,470,4.582642059,72,660,1.266652774
Footwear_38.webp,Footwear,14.79315889,2.48434911,45,279,3.415584026,67,561,1.475791344
Footwear_39.webp,Footwear,18.67485853,3.292361626,48,357,5.290212673,73,450,1.065236386
Footwear_40.webp,Footwear,17.39746914,4.660574726,46,336,8.280558245,70,649,1.103967967
Footwear_41.webp,Footwear,6.413885888,1.439115131,34,217,9.942877929,57,644,0.760352554
Footwear_42.webp,Footwear,5.392578086,1.019240258,28,280,3.756129367,48,603,1.10752971
Footwear_43.webp,Footwear,14.4215718,2.14298809,26,435,5.04379569,43,452,1.279641876
Footwear_44.webp,Footwear,12.33417044,1.137444402,23,328,6.713546904,47,508,1.393267169
Footwear_45.webp,Footwear,9.954560433,2.609202386,21,424,4.60119704,47,669,1.452953928
Footwear_46.webp,Footwear,9.186886291,1.863719572,45,325,5.445012931,69,603,1.828819989
Footwear_47.webp,Footwear,17.57019742,1.119755792,36,325,5.435195363,62,596,1.570790554
Footwear_48.webp,Footwear,17.63402732,4.421014944,31,261,6.614231172,66,407,0.729579523
Footwear_49.webp,Footwear,5.598360371,1.692404851,20,331,8.647066199,62,678,1.787186726
Footwear_50.webp,Footwear,10.30845474,2.554869723,39,311,8.319215793,53,438,1.961744958
Footwear_51.webp,Footwear,8.39727733,4.071022732,25,357,6.746600885,52,416,0.936450037
Footwear_52.webp,Footwear,11.43613691,3.711260129,25,452,6.831603025,67,596,0.659748289
Footwear_53.webp,Footwear,13.94446622,3.951649202,23,269,3.157497292,45,506,1.165783436
Footwear_54.webp,Footwear,10.50235388,4.66951789,46,457,9.443072355,74,510,1.767351417
Footwear_55.webp,Footwear,15.47793162,4.127357506,33,387,3.785957989,43,623,1.370934536
Footwear_56.webp,Footwear,5.978799727,4.180686348,20,357,4.433502868,72,536,1.394766082
Footwear_57.webp,Footwear,8.37520184,4.98659527,30,290,4.240669959,63,420,1.925003908
Footwear_58.webp,Footwear,7.500248681,2.318988238,35,280,4.664070244,76,551,1.932207518
Footwear_59.webp,Footwear,18.41105338,3.072177289,35,411,4.152030819,75,448,1.727530049
Footwear_60.webp,Footwear,7.381170534,4.075349851,20,360,8.840550328,43,499,0.711151272
Footwear_61.webp,Footwear,10.61737031,1.550863045,49,399,5.336448416,77,577,1.953260953
Footwear_62.webp,Footwear,15.54742221,3.861835775,32,463,5.201616678,67,482,1.116464911
Footwear_63.webp,Footwear,11.82671703,2.387467596,22,233,8.158941682,75,693,1.826227052
Footwear_64.webp,Footwear,14.12369999,2.886334814,32,446,3.587330012,55,520,1.456741128
Footwear_65.webp,Footwear,17.2480747,2.096606824,42,209,4.746910898,77,425,1.796955052
Footwear_66.webp,Footwear,9.251085881,2.265825634,38,399,5.607545619,47,433,1.218723676
Footwear_67.webp,Footwear,11.827739,3.371813167,24,334,7.492347981,74,461,1.608479156
Footwear_68.webp,Footwear,13.40958798,3.814919852,44,292,5.462928937,78,544,1.010895345
Footwear_69.webp,Footwear,14.54490718,2.138638877,24,325,4.191853981,70,406,0.530080571
Footwear_70.webp,Footwear,17.19142811,4.530911659,39,279,6.713022678,59,545,0.751696813
Footwear_71.webp,Footwear,10.53954371,4.321996991,47,378,4.13211372,49,646,1.478830991
Footwear_72.webp,Footwear,11.41373792,1.660838024,30,413,7.860398798,56,473,1.172257817
Footwear_73.webp,Footwear,9.524986097,2.822689241,47,371,7.075702593,65,507,1.942744155
Footwear_74.webp,Footwear,18.42870003,2.398666078,31,208,3.094769197,60,515,0.9722509
Footwear_75.webp,Footwear,19.61546136,2.070372703,36,231,3.405689277,62,526,1.517318577
Footwear_76.webp,Footwear,15.20423864,2.803019467,32,234,8.721086701,78,596,0.617112748
Footwear_77.webp,Footwear,6.4589659,3.443525251,39,267,9.151891526,56,699,0.746628952
Footwear_78.webp,Footwear,5.252320662,2.69041764,29,415,4.188778903,71,566,1.672440505
Footwear_79.webp,Footwear,14.45927466,3.022519442,34,460,6.933672876,56,460,0.645168292
Footwear_80.webp,Footwear,19.20260428,1.83897297,29,253,3.212899453,41,651,0.967509845
Footwear_81.webp,Footwear,12.82747409,2.265069021,30,428,9.315463513,70,576,1.438299513
Footwear_82.webp,Footwear,18.78373122,2.166700967,38,222,3.986310019,50,669,1.736963299
Footwear_83.webp,Footwear,16.52421424,4.094038053,42,334,6.28576092,42,519,0.541604189
Footwear_84.webp,Footwear,5.247428841,1.498512953,38,226,3.767656494,40,536,1.059569
Footwear_85.webp,Footwear,16.88172752,4.19503949,38,334,8.143071107,52,656,0.58168588
Footwear_86.webp,Footwear,9.529750955,2.790781541,23,316,9.038158601,57,421,0.62794337
Footwear_87.webp,Footwear,15.5023436,2.673045129,29,432,8.138971699,64,403,1.91008978
Footwear_88.webp,Footwear,9.124927896,1.599019596,24,445,3.275055838,51,590,0.847392124
Footwear_89.webp,Footwear,17.77216999,4.353191352,49,436,4.140810282,64,431,1.585123826
Footwear_90.webp,Footwear,17.59574603,1.759646297,37,453,7.282077569,78,652,1.053860472
Uniform_1.webp,Uniform,13.89369904,2.423218085,24,286,8.432091424,79,657,1.026630201
Uniform_2.webp,Uniform,6.405988552,1.189564309,25,350,7.794195625,68,651,0.769289009
Uniform_3.webp,Uniform,5.523686126,2.293975207,34,376,5.413082835,70,527,0.669241217
Uniform_4.webp,Uniform,12.430143,2.427633087,48,375,8.997501007,47,697,0.962004108
Uniform_5.webp,Uniform,5.462980272,1.593090525,45,312,4.233443846,76,657,1.767545034
Uniform_6.webp,Uniform,7.016149963,4.640485489,43,255,4.097562859,79,408,1.490464314
Uniform_7.webp,Uniform,5.689569899,2.030357927,41,234,7.584902752,75,690,0.869984516
Uniform_8.webp,Uniform,15.57380796,4.563380991,22,493,7.555398692,47,458,1.435982647
Uniform_9.webp,Uniform,14.96719487,4.797856553,47,353,4.617010262,77,604,1.960901998
Uniform_10.webp,Uniform,5.983022492,3.207378913,43,243,9.173790489,49,458,0.974064956
Uniform_11.webp,Uniform,16.56132978,1.278447583,25,349,5.574497739,77,643,0.849412792
Uniform_12.webp,Uniform,8.614853634,4.882330595,21,474,4.777382745,67,661,1.509454975
Uniform_13.webp,Uniform,11.64007655,1.797653218,48,207,6.318344825,72,491,1.7884358
Uniform_14.webp,Uniform,6.354860049,2.654019119,23,458,7.13693628,63,467,1.245622234
Uniform_15.webp,Uniform,9.326468551,2.263513145,35,420,8.27750007,46,658,1.168110571
Uniform_16.webp,Uniform,14.67249113,1.326779901,31,250,7.927413545,41,561,1.282358361
Uniform_17.webp,Uniform,15.97619162,4.653013888,46,369,3.803192833,64,453,0.593494396
Uniform_18.webp,Uniform,12.13145608,3.413151433,47,386,7.016163252,56,404,1.19740734
Uniform_19.webp,Uniform,12.52928329,1.859906203,42,433,7.697342376,79,514,1.256887958
Uniform_20.webp,Uniform,6.918495324,3.303747884,39,246,8.734761677,64,425,1.850603755
Uniform_21.webp,Uniform,17.89423834,4.883721933,23,292,5.71491301,47,536,0.527914766
Uniform_22.webp,Uniform,12.09872785,2.410260212,46,303,7.745587742,55,515,1.147183687
Uniform_23.webp,Uniform,9.029627457,1.149137506,27,243,5.340753914,52,607,1.997583157
Uniform_24.webp,Uniform,18.42206619,2.594391376,29,322,5.795157561,63,660,0.541381772
Uniform_25.webp,Uniform,9.235522553,4.782302152,37,423,8.365129258,79,566,1.03675144
Uniform_26.webp,Uniform,5.218573262,3.982761406,35,343,4.177374514,70,489,0.58553907
Uniform_27.webp,Uniform,7.135520759,1.201673487,40,231,8.096850632,53,686,1.437835052
Uniform_28.webp,Uniform,15.64372053,4.481531906,49,385,6.658840532,51,633,1.642290433
Uniform_29.webp,Uniform,7.954541618,1.168530193,30,315,3.002922501,79,411,1.600034898
Uniform_30.webp,Uniform,9.92835085,2.674962488,29,381,8.36982669,71,406,0.942114892
Uniform_31.webp,Uniform,10.15251809,4.104542297,41,238,6.318725192,51,453,0.532122401
Uniform_32.webp,Uniform,8.833711591,3.709573478,46,369,5.831453241,67,449,0.818203659
Uniform_33.webp,Uniform,11.58395687,2.350512136,23,411,6.527325537,57,488,1.567121486
Uniform_34.webp,Uniform,8.204072023,1.926909538,20,282,4.995040093,48,608,0.906538231
Uniform_35.webp,Uniform,7.443745933,4.573182157,31,482,5.002802798,65,581,1.701338112
Uniform_36.webp,Uniform,18.8423246,4.169924969,27,285,8.69078783,63,651,1.155126953
Uniform_37.webp,Uniform,7.278894831,1.664105795,36,202,7.582411669,47,625,1.276973683
Uniform_38.webp,Uniform,10.92163691,1.178512853,23,483,6.687593662,46,697,1.081347482
Uniform_39.webp,Uniform,6.400631048,2.372264048,20,389,7.105997369,42,640,0.983441461
Uniform_40.webp,Uniform,13.52843144,3.965623258,41,344,4.465787886,66,690,0.804316058
Uniform_41.webp,Uniform,17.85292945,2.67746768,30,370,4.419670453,58,592,1.41980766
Uniform_42.webp,Uniform,8.796204348,2.461141662,27,419,8.409257869,48,617,0.89834664
Uniform_43.webp,Uniform,8.785573432,4.007578803,32,487,3.671320774,70,568,1.182915187
Uniform_44.webp,Uniform,18.31578751,3.660431781,44,260,3.069367727,77,591,0.657719849
Uniform_45.webp,Uniform,8.505254245,3.331686291,49,446,8.922021544,43,572,1.424944243
Uniform_46.webp,Uniform,16.42025907,4.725165053,31,493,3.019231476,64,498,1.723224573
Uniform_47.webp,Uniform,18.09924545,3.877293787,33,493,9.509415727,75,533,1.397679868
Uniform_48.webp,Uniform,18.77828669,3.702856968,49,207,3.688715917,70,484,1.10054615
Uniform_49.webp,Uniform,16.602507,4.525586441,30,385,9.363762736,63,569,0.544686088
Uniform_50.webp,Uniform,15.358927,4.256056257,34,482,5.188008565,49,537,0.761060401
Uniform_51.webp,Uniform,18.22227805,4.329242053,27,444,7.756619118,78,572,1.658192517
Uniform_52.webp,Uniform,8.447141514,4.276890823,36,331,5.760438205,72,493,0.782247588
Uniform_53.webp,Uniform,10.31464848,1.178454346,30,424,8.746066312,55,620,1.871061517
